distance_km,time_of_day,traffic_level,weather_condition,traffic_blocks,holiday,event_nearby,ride_demand_level,fare
35,20,1,Snowy,3,0,1,1,8
35,4,1,Foggy,3,0,0,2,97
33,19,3,Snowy,2,0,0,4,95
5,21,1,Rainy,1,0,0,1,86
42,5,1,Foggy,0,0,0,5,118
39,12,2,Clear,1,1,0,4,131
41,6,1,Rainy,1,0,0,3,94
28,1,3,Foggy,2,0,0,5,37
7,21,3,Foggy,2,0,0,3,66
9,8,2,Snowy,4,0,0,2,77
8,18,1,Foggy,0,0,0,4,117
12,1,1,Foggy,2,0,0,4,71
34,12,3,Rainy,0,0,0,5,33
33,7,1,Foggy,2,0,0,5,36
48,15,2,Rainy,4,0,1,2,139
23,0,2,Rainy,3,0,0,3,146
24,10,1,Snowy,4,0,1,5,92
37,7,2,Snowy,1,0,0,1,64
35,20,1,Foggy,2,0,0,4,141
44,19,2,Rainy,1,0,0,4,146
40,0,1,Foggy,1,0,0,5,39
22,20,3,Snowy,4,0,0,3,6
27,6,2,Clear,3,0,1,3,101
35,8,2,Foggy,4,0,0,2,30
1,21,2,Snowy,2,1,0,4,139
35,1,1,Rainy,3,1,0,1,102
37,20,3,Rainy,1,0,1,1,13
47,18,1,Snowy,1,0,0,3,19
14,5,1,Clear,0,1,1,1,20
3,4,1,Foggy,0,0,1,2,57
1,12,2,Clear,1,0,0,3,50
5,9,1,Snowy,1,0,1,1,12
26,0,2,Foggy,3,0,0,2,53
14,17,1,Clear,0,0,0,5,51
39,20,2,Foggy,4,0,0,4,112
27,13,3,Snowy,1,0,1,2,128
9,11,2,Clear,4,0,1,5,90
15,5,2,Foggy,3,1,0,1,110
15,13,3,Clear,2,0,0,2,99
26,16,1,Clear,1,0,0,2,78
42,6,2,Rainy,3,0,1,5,23
13,2,2,Rainy,1,0,0,1,28
32,16,2,Rainy,3,0,0,5,87
39,22,3,Clear,2,0,0,2,89
49,22,2,Foggy,1,0,0,1,126
32,9,2,Clear,1,1,0,4,80
4,2,3,Foggy,2,0,0,5,101
30,15,1,Clear,3,0,0,4,53
37,5,3,Clear,1,0,0,2,75
23,3,1,Rainy,3,0,0,5,110
39,19,3,Foggy,2,0,1,2,37
45,8,2,Clear,2,0,0,5,13
15,6,3,Snowy,3,0,0,4,18
43,15,1,Snowy,3,0,1,2,40
29,5,1,Rainy,3,0,0,1,124
36,11,1,Foggy,2,1,0,4,130
13,2,2,Foggy,2,0,0,1,40
32,11,3,Foggy,3,0,1,3,148
7,19,2,Foggy,3,0,1,2,134
22,13,2,Snowy,3,1,0,5,83
28,13,1,Clear,1,0,0,5,77
2,8,1,Snowy,2,0,0,3,80
42,3,3,Rainy,1,0,0,3,127
45,22,1,Clear,2,0,0,1,49
6,19,1,Rainy,4,0,0,4,10
28,14,2,Clear,1,0,0,4,117
28,6,3,Clear,3,0,0,5,106
44,19,1,Snowy,2,0,0,4,106
44,18,1,Rainy,4,0,0,1,63
20,5,2,Rainy,3,0,0,3,103
30,18,1,Foggy,2,0,0,1,131
11,6,1,Snowy,0,0,0,1,131
28,0,3,Rainy,0,0,1,2,75
25,6,2,Rainy,4,0,1,1,98
39,2,2,Foggy,1,0,0,4,5
33,5,1,Clear,4,0,0,4,93
1,22,2,Snowy,3,0,0,3,144
27,5,2,Clear,1,0,0,4,71
13,10,3,Foggy,4,0,0,3,117
41,1,2,Rainy,4,0,0,5,68
3,5,3,Foggy,0,0,0,5,94
39,21,3,Clear,3,0,0,3,61
6,17,1,Foggy,1,0,0,4,134
8,22,2,Rainy,0,0,0,1,10
27,13,1,Foggy,0,1,0,5,85
9,11,2,Foggy,2,0,1,5,8
37,8,2,Foggy,3,0,0,2,125
33,12,2,Clear,0,0,0,2,75
42,19,3,Foggy,2,0,1,4,59
44,20,2,Rainy,3,1,0,2,10
24,21,2,Clear,3,0,1,1,54
15,0,3,Snowy,1,0,0,1,43
32,7,1,Clear,3,0,0,2,87
32,8,1,Clear,4,0,0,5,36
24,16,3,Rainy,3,0,0,5,36
41,12,2,Rainy,0,0,1,2,138
49,3,1,Foggy,4,1,0,5,94
49,5,3,Clear,0,0,0,1,24
12,12,3,Rainy,0,0,1,3,6
39,16,2,Rainy,0,0,1,4,134
2,18,1,Clear,2,0,1,3,32
3,22,3,Snowy,1,0,0,5,24
49,23,2,Foggy,2,0,1,5,44
37,7,3,Rainy,0,0,1,1,32
49,20,3,Snowy,3,0,0,5,34
17,16,3,Snowy,3,0,1,5,134
49,16,1,Rainy,0,0,0,4,82
2,23,1,Clear,3,0,0,5,35
2,20,1,Clear,2,0,0,4,78
28,14,1,Rainy,3,0,0,3,54
23,0,2,Snowy,1,0,0,4,80
37,1,3,Rainy,0,0,0,5,65
32,19,3,Rainy,4,0,0,3,104
33,9,3,Snowy,1,0,1,1,139
1,15,3,Clear,3,0,0,5,95
19,22,1,Snowy,0,0,0,3,128
2,3,1,Clear,4,1,0,5,60
44,7,3,Snowy,1,0,0,4,124
26,15,1,Clear,3,0,0,2,49
32,6,1,Rainy,3,0,0,4,121
6,4,1,Clear,0,1,0,1,136
32,22,1,Foggy,3,0,1,2,25
4,7,3,Clear,0,0,0,4,39
11,2,2,Foggy,4,0,0,5,140
17,2,3,Clear,2,0,0,4,23
38,17,2,Foggy,0,0,0,2,127
24,3,3,Clear,1,0,0,5,15
5,3,2,Rainy,2,0,0,1,81
34,14,1,Clear,2,0,0,2,118
6,14,1,Rainy,1,0,1,1,71
22,3,3,Clear,2,0,1,5,116
11,1,2,Rainy,2,0,0,3,15
48,22,2,Foggy,1,0,0,4,44
16,2,3,Rainy,1,0,0,2,113
33,9,1,Rainy,0,0,0,1,88
9,0,1,Snowy,0,0,0,1,93
6,17,2,Snowy,0,0,0,3,7
16,4,2,Rainy,2,0,1,2,87
29,8,2,Snowy,0,0,0,1,102
3,19,1,Foggy,2,0,0,2,66
20,5,3,Rainy,2,0,0,4,21
36,18,2,Rainy,2,0,0,5,24
19,8,2,Rainy,1,1,0,1,28
26,17,3,Clear,4,0,0,2,60
3,23,1,Snowy,4,0,1,2,109
19,14,2,Snowy,3,0,1,1,49
20,14,1,Snowy,2,0,0,1,61
32,13,2,Clear,2,0,0,4,143
7,2,3,Snowy,0,0,0,1,105
41,7,3,Foggy,2,0,0,1,127
33,18,2,Rainy,0,0,0,2,69
40,10,3,Rainy,0,1,0,2,127
39,3,3,Snowy,4,0,0,1,78
18,14,2,Clear,2,0,0,3,99
40,23,2,Rainy,0,0,0,2,133
1,9,1,Foggy,2,0,0,3,15
11,19,1,Foggy,0,0,0,5,117
28,10,1,Rainy,1,0,0,2,142
25,8,1,Rainy,3,0,1,3,72
23,21,3,Foggy,4,0,0,5,113
31,16,1,Snowy,1,0,1,2,19
30,8,2,Clear,4,0,0,2,127
42,22,2,Foggy,4,0,0,3,147
35,8,1,Rainy,4,0,1,1,69
7,23,2,Rainy,4,0,0,2,32
16,8,1,Foggy,4,0,1,3,148
26,22,2,Snowy,1,1,0,5,62
48,21,2,Rainy,4,0,0,5,26
49,1,3,Rainy,0,0,1,5,148
2,12,3,Snowy,1,0,1,1,102
1,22,1,Snowy,4,1,0,5,129
48,0,3,Rainy,3,0,1,2,91
12,5,3,Snowy,2,0,0,1,55
5,5,3,Foggy,1,0,1,5,115
37,15,1,Foggy,0,1,0,4,146
32,11,1,Clear,0,0,1,5,6
9,14,2,Clear,3,0,0,1,6
41,6,3,Foggy,2,0,1,5,56
35,1,2,Rainy,2,0,0,5,19
19,11,2,Rainy,4,0,0,5,73
48,19,2,Rainy,2,1,0,4,134
16,1,1,Snowy,1,0,0,2,132
3,3,1,Rainy,2,0,0,1,134
20,2,3,Foggy,4,0,0,4,33
24,1,2,Foggy,0,0,0,5,81
33,17,2,Clear,2,0,1,5,136
24,2,1,Clear,4,0,0,1,145
11,9,3,Snowy,4,0,0,3,98
49,11,2,Snowy,3,1,0,5,123
8,3,3,Snowy,2,0,0,2,119
36,22,3,Snowy,0,0,0,2,126
38,19,2,Clear,4,0,0,4,32
40,6,1,Rainy,2,1,0,2,95
20,19,1,Rainy,1,0,0,4,116
35,18,1,Snowy,1,0,0,2,84
48,7,3,Rainy,0,0,0,4,137
25,2,1,Rainy,1,0,1,4,61
35,14,1,Clear,4,0,1,1,106
25,7,2,Clear,3,0,1,1,13
29,17,3,Foggy,4,0,1,3,98
18,13,3,Foggy,1,0,0,2,6
46,18,3,Snowy,3,0,0,3,23
18,3,3,Clear,2,0,0,3,26
2,2,3,Snowy,4,0,0,1,72
35,21,1,Snowy,0,0,0,5,63
16,8,2,Clear,0,0,1,1,98
41,9,3,Rainy,3,1,0,2,126
36,7,1,Clear,1,0,1,2,58
33,19,1,Rainy,3,0,0,1,143
4,1,2,Foggy,1,0,0,5,86
33,0,1,Snowy,0,0,0,5,145
14,3,3,Snowy,1,0,0,5,9
21,15,1,Foggy,1,0,0,1,32
48,4,3,Snowy,1,0,1,5,14
20,17,2,Foggy,3,0,1,2,125
8,13,2,Clear,2,0,0,2,88
7,12,2,Clear,4,0,0,2,23
3,15,1,Snowy,4,0,0,5,98
17,14,1,Foggy,4,0,0,5,122
33,18,1,Foggy,4,0,0,5,56
48,3,1,Foggy,1,0,0,2,87
12,18,2,Foggy,4,0,0,4,8
22,23,2,Snowy,1,0,1,3,105
22,12,2,Snowy,2,1,0,5,73
46,10,3,Foggy,2,0,0,5,81
30,17,3,Foggy,3,0,0,1,51
38,10,3,Snowy,4,0,0,2,72
38,21,1,Snowy,2,0,0,2,106
45,0,3,Snowy,4,0,0,2,146
8,14,2,Rainy,2,0,0,1,131
27,23,1,Snowy,2,0,0,5,91
27,9,1,Clear,0,1,1,5,75
34,21,3,Rainy,0,0,0,5,51
21,3,1,Rainy,2,0,1,5,17
30,5,1,Clear,1,0,0,4,16
33,1,3,Snowy,4,0,0,5,48
28,16,2,Rainy,0,0,1,3,64
47,11,2,Foggy,2,0,0,1,75
33,21,2,Rainy,0,0,0,3,134
5,23,3,Snowy,0,0,0,1,8
48,4,1,Foggy,2,0,0,2,23
19,23,3,Clear,4,0,1,3,146
4,18,1,Clear,2,0,0,3,143
35,5,2,Foggy,4,0,0,3,65
49,16,2,Rainy,3,0,0,4,72
17,18,3,Foggy,1,0,0,1,8
44,19,2,Rainy,3,0,0,2,53
28,20,3,Clear,4,0,0,3,130
30,2,2,Snowy,4,0,0,4,32
29,7,2,Foggy,0,0,0,1,97
46,4,2,Snowy,1,0,0,1,47
6,22,3,Snowy,0,0,0,2,120
35,4,2,Snowy,4,0,0,2,140
41,23,3,Snowy,2,0,0,3,23
37,16,3,Rainy,1,0,0,3,144
24,18,1,Rainy,1,0,0,4,46
29,18,2,Foggy,3,0,0,1,41
49,9,1,Rainy,3,0,1,2,55
46,2,1,Rainy,3,0,1,5,97
31,21,3,Rainy,0,0,0,2,149
35,12,2,Foggy,1,1,0,5,130
33,15,1,Rainy,4,0,0,2,128
21,11,2,Rainy,0,0,0,5,65
32,21,2,Foggy,3,0,0,3,85
23,20,3,Clear,0,0,0,1,55
33,16,3,Snowy,1,0,0,1,107
3,1,1,Rainy,1,0,0,3,93
18,15,1,Snowy,3,0,0,2,79
25,10,3,Snowy,0,0,0,4,146
42,0,1,Foggy,1,0,0,2,59
31,11,1,Clear,2,1,1,2,110
3,5,2,Snowy,4,0,0,3,133
40,18,1,Foggy,0,1,0,1,128
46,4,1,Clear,1,0,0,1,52
24,21,1,Foggy,3,0,0,4,11
32,20,3,Snowy,2,0,0,2,134
47,2,2,Foggy,4,0,0,4,127
22,17,1,Rainy,0,0,0,5,27
23,17,3,Foggy,2,0,0,1,120
2,11,2,Snowy,4,0,0,4,48
27,17,3,Clear,0,0,1,4,111
42,9,3,Snowy,4,0,0,3,87
2,3,2,Foggy,0,0,1,1,148
26,19,2,Foggy,2,0,0,3,93
17,18,3,Snowy,4,0,0,2,111
40,23,3,Rainy,0,0,0,2,87
33,3,1,Foggy,1,0,1,3,35
9,23,3,Snowy,1,0,0,2,113
43,10,2,Clear,2,1,1,2,138
48,2,2,Snowy,3,0,0,3,117
39,14,2,Foggy,2,0,0,1,97
29,15,2,Foggy,4,0,0,1,129
42,11,3,Foggy,3,0,0,1,124
26,17,3,Clear,1,0,0,4,59
35,23,2,Rainy,1,1,0,2,13
25,5,2,Rainy,2,0,0,5,90
24,14,2,Rainy,2,0,0,1,71
13,1,1,Foggy,1,0,0,2,88
7,22,3,Rainy,2,1,0,2,62
36,11,2,Snowy,0,0,1,5,5
45,9,3,Rainy,2,0,0,3,107
20,22,1,Rainy,3,0,1,1,119
1,3,3,Snowy,1,0,0,1,40
8,7,1,Foggy,4,0,0,3,18
46,14,3,Foggy,1,0,0,1,106
16,18,1,Clear,3,0,0,5,101
14,15,3,Snowy,2,0,1,5,31
12,12,1,Foggy,4,0,0,4,32
23,14,2,Snowy,1,0,0,1,83
15,13,2,Snowy,0,0,0,5,122
28,14,3,Snowy,0,1,0,3,127
34,11,1,Clear,1,0,1,2,16
2,10,2,Clear,2,1,0,3,14
32,20,3,Snowy,0,0,1,1,110
23,2,1,Snowy,0,0,0,2,40
22,13,1,Rainy,4,0,0,1,10
25,1,1,Rainy,0,0,0,5,9
22,17,1,Rainy,2,0,1,3,51
22,2,3,Snowy,1,0,0,5,114
49,8,1,Clear,0,0,1,4,101
42,10,1,Snowy,0,0,0,5,74
6,2,2,Foggy,2,0,1,3,128
15,4,1,Rainy,3,0,1,5,115
43,8,1,Snowy,0,0,1,5,136
37,9,1,Foggy,2,0,0,4,106
33,5,1,Foggy,3,1,0,3,50
8,5,3,Rainy,4,0,0,3,73
44,10,3,Snowy,0,1,0,5,50
44,16,3,Snowy,4,0,0,4,45
5,1,2,Rainy,2,0,1,5,98
39,8,1,Foggy,1,0,0,5,19
4,23,3,Snowy,4,0,1,2,106
6,17,3,Snowy,0,0,0,4,11
45,4,2,Foggy,3,0,0,1,135
32,20,2,Rainy,0,0,0,5,15
30,5,1,Snowy,4,0,0,3,86
47,3,1,Clear,0,0,0,4,114
35,8,1,Rainy,1,0,0,2,70
40,4,3,Foggy,3,0,0,5,143
16,3,2,Foggy,4,0,0,1,15
13,8,3,Snowy,0,0,0,3,115
42,17,1,Snowy,4,0,0,3,76
30,10,3,Snowy,3,1,0,4,99
19,15,2,Clear,1,0,0,1,34
17,1,3,Rainy,1,0,0,5,128
19,15,1,Foggy,2,0,0,1,44
28,18,1,Rainy,1,0,0,3,143
26,9,1,Snowy,3,0,1,1,100
37,3,1,Foggy,4,0,0,2,68
26,11,2,Snowy,1,0,0,2,14
23,8,2,Rainy,1,1,0,3,135
9,12,1,Clear,1,0,0,4,93
12,4,2,Foggy,0,0,0,3,108
1,1,1,Clear,2,0,0,1,146
1,2,3,Clear,1,0,0,2,34
47,7,3,Rainy,1,0,1,4,26
34,5,3,Clear,2,1,0,2,121
32,4,2,Rainy,1,0,0,1,17
48,3,1,Clear,4,0,0,5,130
25,19,3,Foggy,3,0,1,5,135
40,15,2,Clear,0,0,0,5,14
45,7,2,Snowy,1,0,1,4,70
1,11,2,Rainy,4,1,0,1,77
16,21,2,Clear,1,0,0,3,37
39,4,1,Rainy,1,0,0,2,120
5,4,2,Snowy,4,0,1,5,10
22,21,2,Snowy,4,0,0,2,24
29,12,1,Snowy,4,0,0,5,77
3,10,1,Snowy,1,0,1,4,78
12,10,3,Foggy,3,0,0,3,52
26,18,1,Clear,4,0,0,3,110
16,6,2,Snowy,4,0,0,2,114
37,16,3,Snowy,4,0,0,5,82
22,4,1,Clear,3,0,1,4,53
29,5,1,Rainy,0,1,0,2,81
14,17,3,Clear,0,0,0,2,46
28,17,1,Rainy,0,0,0,2,105
5,8,3,Clear,4,0,0,5,21
47,17,2,Rainy,3,0,0,5,81
49,18,1,Clear,0,0,1,4,11
30,16,2,Rainy,1,0,1,5,41
46,8,3,Rainy,2,0,0,5,115
5,0,1,Snowy,2,0,1,2,112
12,19,1,Clear,2,1,0,3,102
16,22,2,Foggy,1,0,0,4,103
26,17,3,Snowy,3,0,0,5,26
26,23,1,Foggy,1,0,1,1,119
48,12,2,Rainy,3,0,0,4,89
21,7,2,Rainy,3,0,0,2,42
39,13,1,Foggy,2,0,0,2,57
36,2,1,Snowy,1,0,1,5,132
33,3,3,Rainy,4,0,0,1,34
30,10,1,Rainy,3,1,1,1,20
37,6,3,Foggy,4,0,0,5,36
23,20,3,Rainy,4,0,1,5,26
10,4,3,Foggy,2,0,0,3,65
5,1,3,Clear,2,0,0,2,141
36,5,1,Clear,3,0,0,4,42
34,19,1,Rainy,1,1,0,2,17
31,4,3,Clear,1,0,0,1,28
10,14,3,Rainy,4,0,0,5,122
19,10,1,Foggy,1,0,0,2,127
32,4,3,Clear,2,0,0,4,35
1,17,1,Rainy,3,0,0,5,51
5,7,1,Snowy,3,0,0,3,84
45,10,1,Clear,4,0,0,1,50
4,16,2,Snowy,2,0,0,5,59
16,13,1,Snowy,4,0,0,5,69
24,1,3,Clear,0,0,0,4,57
16,6,2,Snowy,0,0,0,4,104
2,22,3,Snowy,0,0,0,3,16
49,17,1,Rainy,2,0,0,3,139
28,0,2,Foggy,4,0,0,3,125
32,14,2,Foggy,3,1,1,4,125
27,0,3,Snowy,0,0,0,3,78
20,16,3,Foggy,0,1,0,3,93
24,21,1,Clear,1,0,0,4,88
12,6,2,Rainy,4,0,0,2,29
35,15,1,Snowy,0,0,1,1,127
33,1,2,Clear,4,0,0,4,84
33,14,2,Snowy,1,0,0,3,21
43,21,3,Clear,1,0,0,2,128
37,19,3,Snowy,0,0,1,1,14
12,10,2,Clear,4,0,0,4,23
3,23,2,Clear,3,0,1,5,82
1,23,2,Foggy,1,0,0,4,55
33,1,1,Rainy,3,0,0,1,57
40,10,2,Rainy,0,0,0,1,89
10,20,3,Snowy,3,0,0,1,138
43,15,2,Snowy,2,0,0,3,104
44,1,3,Foggy,0,0,0,2,78
29,18,1,Clear,4,0,0,5,68
13,15,1,Rainy,0,0,0,2,78
12,7,1,Clear,0,0,1,4,94
31,20,1,Clear,0,0,0,2,80
46,19,2,Rainy,0,0,0,5,18
2,4,3,Snowy,4,0,0,2,43
35,7,3,Foggy,4,0,1,2,140
23,13,1,Rainy,3,1,1,3,93
17,13,3,Clear,4,0,0,2,25
26,22,1,Foggy,0,0,0,4,32
8,21,3,Clear,3,1,1,5,24
29,17,1,Clear,3,0,0,3,17
26,4,3,Foggy,3,0,1,4,84
10,9,2,Foggy,3,0,0,5,94
26,14,2,Rainy,3,0,0,3,10
34,12,2,Foggy,4,0,0,5,121
41,8,2,Foggy,1,1,0,5,76
7,8,1,Clear,0,0,0,1,70
4,18,3,Foggy,3,0,0,3,95
45,8,3,Snowy,1,0,0,5,31
11,4,2,Clear,3,0,1,3,29
29,5,2,Snowy,0,0,1,3,129
36,22,2,Foggy,3,0,1,1,57
25,9,3,Foggy,0,0,0,2,12
21,9,1,Clear,0,0,0,1,93
36,5,2,Foggy,4,0,1,5,50
10,20,2,Clear,0,0,0,5,136
37,0,3,Snowy,0,0,0,5,132
9,19,1,Snowy,3,0,1,3,72
24,12,2,Rainy,4,0,0,2,125
35,7,1,Snowy,0,0,0,3,51
49,23,2,Rainy,2,0,1,4,126
35,12,3,Rainy,0,0,0,4,105
48,5,1,Clear,3,0,0,2,6
36,18,3,Foggy,2,0,0,3,96
18,11,2,Clear,4,0,0,5,109
49,14,3,Foggy,2,0,1,1,29
39,7,2,Clear,3,0,0,4,113
32,22,2,Snowy,1,1,0,3,142
24,10,2,Clear,1,0,1,4,114
23,8,2,Snowy,3,0,0,1,81
32,18,3,Clear,2,0,0,3,99
37,10,2,Rainy,3,0,0,5,88
12,5,2,Snowy,4,1,0,4,59
49,14,2,Clear,4,0,0,3,54
13,16,3,Snowy,4,0,1,4,141
23,11,3,Clear,0,0,0,4,38
25,23,2,Foggy,0,0,0,5,71
35,1,2,Snowy,3,0,1,4,104
41,20,2,Rainy,1,0,0,5,18
30,21,2,Foggy,3,0,1,1,54
17,3,3,Foggy,3,0,1,1,68
49,2,1,Rainy,4,0,0,2,81
20,1,1,Snowy,1,0,0,2,89
48,18,3,Snowy,4,0,1,2,103
25,4,1,Snowy,1,0,0,1,36
22,16,3,Clear,4,0,0,2,148
13,15,1,Foggy,1,0,0,4,135
19,15,3,Rainy,4,0,0,2,130
49,11,1,Rainy,1,0,0,4,48
36,3,1,Clear,1,0,1,1,6
12,16,3,Clear,3,0,0,2,55
41,18,2,Rainy,2,0,0,2,116
19,1,1,Foggy,4,0,1,1,38
12,4,1,Rainy,0,1,0,4,122
9,0,1,Clear,4,0,1,4,23
7,13,2,Foggy,4,0,0,4,148
28,22,1,Foggy,2,0,0,2,138
14,8,3,Rainy,0,0,1,3,147
31,16,1,Clear,2,0,0,5,57
19,11,1,Clear,0,0,0,3,9
47,23,1,Snowy,2,0,0,1,73
16,23,1,Rainy,0,0,0,2,34
5,22,1,Snowy,1,0,0,4,78
35,19,2,Foggy,1,0,0,1,18
12,11,1,Snowy,4,1,0,1,82
25,14,2,Clear,4,0,1,5,8
21,15,1,Snowy,3,0,1,4,11
36,22,2,Rainy,4,0,0,3,29
23,17,1,Foggy,0,0,1,3,13
16,21,1,Rainy,2,0,0,2,115
39,13,3,Foggy,2,0,1,3,18
45,11,1,Foggy,1,1,1,4,63
42,10,3,Clear,1,0,0,2,86
39,14,2,Clear,4,0,1,5,143
14,20,1,Snowy,1,0,1,2,99
31,20,3,Rainy,0,0,0,4,14
5,7,2,Snowy,1,0,0,5,61
35,16,2,Snowy,2,0,0,3,17
23,7,3,Rainy,1,0,0,4,59
29,3,1,Foggy,2,0,0,5,91
43,9,3,Snowy,3,0,1,1,82
11,5,3,Rainy,0,1,0,2,129
18,5,2,Clear,3,0,0,2,53
47,16,3,Clear,3,0,0,1,119
12,7,2,Foggy,3,0,0,3,73
9,12,3,Foggy,2,0,0,4,21
10,14,3,Rainy,1,0,0,3,80
44,3,1,Clear,3,0,0,2,131
17,14,1,Rainy,3,0,0,1,38
38,22,1,Clear,0,0,0,3,80
7,13,2,Clear,2,0,0,4,84
46,10,1,Snowy,1,0,0,5,94
13,19,1,Foggy,3,1,0,1,23
40,16,2,Snowy,3,0,0,3,100
42,9,3,Snowy,1,0,1,1,147
9,5,2,Snowy,0,0,0,5,88
27,5,1,Snowy,3,0,0,3,55
2,0,2,Clear,3,0,0,2,59
5,4,2,Rainy,1,0,1,1,9
29,3,1,Foggy,4,0,0,2,113
37,10,3,Foggy,4,1,0,2,106
38,16,1,Foggy,4,0,0,1,25
19,6,2,Snowy,4,0,0,1,93
8,19,1,Rainy,0,0,0,1,19
48,2,3,Rainy,4,0,1,2,50
45,1,2,Clear,2,0,0,3,39
1,7,3,Rainy,4,0,0,5,112
22,4,1,Clear,3,0,0,5,92
17,4,1,Rainy,1,0,0,3,69
7,9,2,Rainy,3,0,0,2,85
25,11,1,Clear,4,0,1,1,79
45,16,3,Clear,3,0,0,5,87
4,13,2,Rainy,4,0,0,1,77
36,4,3,Clear,1,0,0,2,109
6,4,3,Foggy,4,0,0,5,47
31,23,2,Snowy,2,0,1,5,106
19,5,3,Rainy,0,0,0,1,58
44,14,2,Snowy,4,1,1,2,110
39,4,2,Foggy,0,0,0,3,121
27,7,3,Snowy,1,0,0,2,99
